Title,uidd,country
جمعية أصحاب الهمم للمعوقين,1565,الأردن
أكاديمية الشمال للتدريب والتأهيل,1566,الأردن
جمعية علعال الخيرية,1567,الأردن
مركز البقاعي للرعاية والتأهيل الشامل,1568,الأردن
جمعية الشفاء لرعاية المعوقين,1569,الأردن
جمعية المنشية لذوي الإحتياجات الخاصة,1570,الأردن
جمعية سمر الخيرية,1571,الأردن
مركز التأهيل المجتمعي للمعاقين,1572,الأردن
جمعية كفر عوان الخيرية,1573,الأردن
جمعية اليرموك /لواء بني كنانة,1574,الأردن
جمعية دير يوسف الخيرية,1575,الأردن
الجمعية الخيرية للعمل الإجتماعي,1576,الأردن
جمعية ارحابا الخيرية,1577,الأردن
جمعية الطيبة الخيرية,1578,الأردن
جمعية أبي عبيدة الخيرية,1579,الأردن
جمعية المشارع الخيرية,1580,الأردن
جمعية أبي الدرداء للتربية الخاصة,1581,الأردن
مركز المنار للتنمية الفكرية/ إربد,1582,الأردن
مركز العناية بالسمع والنطق,1583,الأردن
الجمعية الأردنية للسمع والنطق,1584,الأردن
مركز صوت الحياة للسمع والنطق,1585,الأردن
جمعية ملكا الخيرية,1586,الأردن
جمعية جديتا الخيرية,1587,الأردن
جمعية النهضة للتحديات الحركية,1588,الأردن
مركز إربد للشلل الدماغي,1589,الأردن
"جمعية العائلة البيضاء ""الألبينو"" الخيرية",1590,الأردن
جمعية معاذ بن جبل الخيرية للمكفوفين,1591,الأردن
بيت اللقاء لذوي الإحتياجات الخاصة,1592,الأردن
مركز الأمل للتربية الخاصة,1593,الأردن
جمعية عبد الرحمن بن عوف الخيرية,1594,الأردن
جمعية الوفاق الخيرية,1595,الأردن
جمعية السلط لرعاية وتأهيل ذوي الإعاقات الخيرية,1596,الأردن
"مركز الجوفة المجتمعي للتأهيل ""بيت سليم """,1597,الأردن
جمعية البلاونة الخيرية,1598,الأردن
مركز الأمل للتربية الخاصة,1599,الأردن
مركز الأميرة عالية بنت الحسين للتربية الخاصة,1600,الأردن
جمعية السلط الخيرية الإسلامية,1601,الأردن
جمعية الروضة للتنمية الإجتماعية,1602,الأردن
مؤسسة الأراضي المقدسة للصم,1603,الأردن
جمعية الرؤى للمكفوفين/دير علا,1604,الأردن
جمعية سعد بن معاذ الخيرية لذوي الإحتياجات الخاصة,1605,الأردن
مركز التأهيل والتشغيل المهني,1606,الأردن
جمعية زارعي البسمة الخيرية,1607,الأردن
مركز الأمل الجديد لرعاية متعددي الإعاقات,1608,الأردن
مركز حطين للكشف المبكر عن الإعاقات والتأهيل المجتمعي,1609,الأردن
جمعية سيدات الضليل للتربية الخاصة,1610,الأردن
مركز التأهيل المبني على المجتمع المحلي,1611,الأردن
جمعية خطوتنا,1612,الأردن
مركز رؤيا للتربية الخاصة,1613,الأردن
مركز مراد الأمل للتربية الخاصة,1614,الأردن
مركز جمعية عثمان بن عفان للتربية الخاصة,1615,الأردن
جمعية السيدات العاملات,1616,الأردن
شركة العطاء الشامل,1617,الأردن
مركز الضليل للرعاية والتأهيل,1618,الأردن
جمعية عقربا الخيرية التنموية / مركز النشاط النهاري للمعاقين الكبار,1619,الأردن
المركز الإستشاري التطبيقي للتربية الخاصة,1620,الأردن
جمعية الخربة السمراء للإحتياجات الخاصة الخيرية,1621,الأردن
جمعية رعاية الطفل الخيرية,1622,الأردن
جمعية الخالدية للتربية الخاصة,1623,الأردن
مركز الرواء للتربية الخاصة,1624,الأردن
جمعية تل الرماح للتنمية الاجتماعية,1625,الأردن
جمعية أهالي الرويشد للعناية بالأشخاص المعوقين,1626,الأردن
جمعية رحاب لذوي الإحتياجات الخاصة,1627,الأردن
جمعية بلعما للتربية الخاصة,1628,الأردن
جمعية صبحا لذوي الإحتياجات الخاصة,1629,الأردن
جمعية حليمة السعدية لرعاية الأيتام الخيرية,1630,الأردن
جمعية عجلون الخيرية لشؤون الأشخاص ذوي الإعاقة,1631,الأردن
جمعية صلاح الدين لرعاية المعاقين والأيتام الخيرية,1632,الأردن
جمعية أصدقاء المجتمع للإعاقات الذهنية البسيطة والمتوسطة,1633,الأردن
جمعية الجبل للتربية الخاصة,1634,الأردن
مركز جمعية الزهراء الخيرية للتربية الخاصة,1635,الأردن
مركز سما للتجهيزات الطبية والسمعية,1636,الأردن
مركز الترك لتقويم النطق واللغة,1637,الأردن
مركز آل مكتوم للعناية بالشلل الدماغي,1638,الأردن
مركز التعليم للجميع لتنمية وتطوير قدرات الطفل,1639,الأردن
الأكاديمية الوطنية للتربية الخاصة,1642,الأردن
شركة البراءة للتجهيزات الطبية,1645,الأردن
مركز الخزامى,1648,الأردن
جمعية بناة الوطن لرعاية وتأهيل المعوقين,1650,الأردن
جمعية أبو علندا للتنمية الاجتماعية,1653,الأردن
جمعية الحياة لرعاية وتأهيل المعوقين الخيرية,1659,الأردن
جمعية الزهراء الخيرية لرعاية الطفولة,1660,الأردن
جمعية تنمية المرأة الأردنية للصم,1662,الأردن
جمعية أنا إنسان للأشخاص ذوي الإعاقة,1664,الأردن
الهيئة الهاشمية للمصابين العسكريين,1665,الأردن
جمعية الجنوب للتربية الخاصة,1666,الأردن
جمعية البادية الوسطى لذوي الإحتياجات الخاصة,1667,الأردن
جمعية شمس الأمل لرعاية الأشخاص ذوي الإعاقة,1668,الأردن
الجمعية الأردنية للعلاج الوظيفي,1672,الأردن
مركز النورس للنطق واللغة,1673,الأردن
جمعية تدريب وتأهيل الفتيات المعاقات الخيرية,1674,الأردن
مركز التأهيل المجتمعي للمعاقين/ مخيم الطالبية,1675,الأردن
مركز التأهيل المجتمعي للمعاقين/ الوحدات,1676,الأردن
جمعية شرق عمان الخيرية,1677,الأردن
مركز العناية والرعاية للتربية الخاصة,1678,الأردن
جمعية أهالي وأصدقاء الأشخاص المعوقين,1679,الأردن
المدرسة العربية للتربية الخاصة,1680,الأردن
أكاديمية العصام للتربية الخاصة,1681,الأردن
مركز بدوة للتربية الخاصة,1682,الأردن
الأكاديمية الأردنية للرعاية الشاملة,1683,الأردن
مركز إصرار للتربية الخاصة,1684,الأردن
المركز الدولي للتدخل السلوكي,1685,الأردن
مركز شمس الأردن للتربية الخاصة,1686,الأردن
مركز السوسنة للتربية الخاصة,1687,الأردن
مركز التحدي للتربية الخاصة,1688,الأردن
مركز المنار للتنمية الفكرية / سحاب,1689,الأردن
معهد التصحيح الزائد للتربية الخاصة,1690,الأردن
مركز القرية العربية لذوي التحديات الخاصة,1691,الأردن
جمعية أجواء الأردن الخيرية,1692,الأردن
مؤسسة إدراك للتربية الخاصة,1693,الأردن
معهد الشرق الأوسط للتربية الخاصة,1694,الأردن
مركز المدار الدولي للتربية الخاصة,1695,الأردن
مركز دنيا الطفل لذوي الاحتياجات الخاصة,1696,الأردن
جمعية بيت المقدس الخيرية,1697,الأردن
مركز أوكسجين للرعاية والتأهيل,1698,الأردن
مركز السند للتدريب,1699,الأردن
مدرسة المسار لخدمات تطور الطفل,1700,الأردن
مركز جاك سركيس,1701,الأردن
مركز رشا للتربية الخاصة,1702,الأردن
جمعية الهبة للأيتام ذوي الاعاقة,1703,الأردن
مركز الحاجة رفيقة لذوي الاحتياجات الخاصة النهاري الخيري للإعاقات الذهنية,1704,الأردن
جمعية نعمل لأجلكم,1705,الأردن
جمعية التكاتف للصم والأيتام الخيرية,1706,الأردن
مركز أطلس الشرق للتوحد وتنمية القدرات,1707,الأردن
مركز الهدبان للتربية الخاصة,1708,الأردن
مركز التداوي لذوي الإعاقة,1709,الأردن
الجمعية الأردنية للفنيل كيتون الخيرية,1710,الأردن
المركز العربي للتربية الخاصة,1711,الأردن
مركز وائل الترك للتجهيزات الطبية والسمعية,1712,الأردن
مركز عمر بن الخطاب للأطراف الإصطناعية والمقومات الطبية,1713,الأردن
مركز عمان للتوحد,1714,الأردن
جمعية الياسمين لأطفال الداون,1715,الأردن
حضانة وروضة ألوان للتعليم المبكر,1716,الأردن
المدرسة النموذجية للتربية الخاصة,1717,الأردن
مركز المنار للتنمية الفكرية / المقابلين,1718,الأردن
مركز الرازي للتربية الخاصة,1719,الأردن
مركز الأمل للتربية الخاصة,1720,الأردن
الجمعية الوطنية لذوي الاحتياجات الخاصة,1721,الأردن
